# Jakoœæ najlepszego rozwi¹zania;Jakoœæ najgorszego rozwi¹zania;Œrednia jakoœæ rozwi¹zañ;Œredni czas dzia³ania
25888.0000;32672.0000;29433.1900;0.0116
31869.0000;40145.0000;35197.8300;0.0067
26562.0000;33280.0000;29456.5900;0.0031
32240.0000;39897.0000;36110.3600;0.0062
