# Jakoœæ najlepszego rozwi¹zania;Jakoœæ najgorszego rozwi¹zania;Œrednia jakoœæ rozwi¹zañ;Œredni czas dzia³ania
27208.0000;35514.0000;32394.6900;0.0043
29953.0000;43673.0000;34663.5800;0.0087
26342.0000;40264.0000;32264.1900;0.0036
34037.0000;41514.0000;37006.2300;0.0067
