# Jakoœæ najlepszego rozwi¹zania;Jakoœæ najgorszego rozwi¹zania;Œrednia jakoœæ rozwi¹zañ;Œredni czas dzia³ania
31991.0000;45977.0000;39193.6800;1.2768
42290.0000;62307.0000;51795.5000;4.3119
32396.0000;48570.0000;39253.8800;1.0415
42402.0000;63989.0000;51939.0200;4.1408
