# Jakoœæ najlepszego rozwi¹zania;Jakoœæ najgorszego rozwi¹zania;Œrednia jakoœæ rozwi¹zañ;Œredni czas dzia³ania
23490.0000;30924.0000;26164.7000;0.2731
29590.0000;37249.0000;33371.3500;0.6372
25570.0000;31833.0000;28460.5200;0.1418
29780.0000;36719.0000;32772.9500;0.9693
