# Jakoœæ najlepszego rozwi¹zania;Jakoœæ najgorszego rozwi¹zania;Œrednia jakoœæ rozwi¹zañ;Œredni czas dzia³ania
24384.0000;33360.0000;29216.8800;0.2915
29117.0000;39224.0000;32703.0400;0.5543
25411.0000;36738.0000;29793.4800;0.1987
30199.0000;40499.0000;34059.9900;0.8334
