# Jakoœæ najlepszego rozwi¹zania;Jakoœæ najgorszego rozwi¹zania;Œrednia jakoœæ rozwi¹zañ;Œredni czas dzia³ania
23033.0000;24623.0000;23835.7800;27.7177
28248.0000;31730.0000;29810.2600;148.5275
24169.0000;27063.0000;25785.4800;36.8232
29780.0000;32060.0000;30262.5400;137.0315
